application_code,server_code,environment,version,status,deployer,port,protocol,service_name
CORE_CBS,SRV-PROD-APP-001,PROD,3.5.2,RUNNING,DevOps Team,8080,HTTP,core-banking
CORE_ACCT,SRV-PROD-APP-001,PROD,2.8.1,RUNNING,DevOps Team,8081,HTTP,account-mgmt
CORE_TRAN,SRV-PROD-APP-002,PROD,2.8.1,RUNNING,DevOps Team,8082,HTTP,transaction-engine
CORE_LOAN,SRV-PROD-APP-002,PROD,1.9.4,RUNNING,DevOps Team,8083,HTTP,loan-mgmt
CORE_REPORT,SRV-PROD-APP-001,PROD,1.4.0,RUNNING,DevOps Team,8084,HTTP,reporting
IB_PORTAL,SRV-PROD-APP-001,PROD,5.2.0,RUNNING,Team Digital,3000,HTTP,ib-portal
IB_API,SRV-PROD-APP-002,PROD,4.1.3,RUNNING,Team Digital,8085,HTTP,ib-api
IB_AUTH,SRV-PROD-APP-001,PROD,3.0.1,RUNNING,Team Digital,8090,HTTP,auth-service
IB_NOTIFY,SRV-PROD-APP-002,PROD,2.3.0,RUNNING,Team Digital,8086,HTTP,notification
MB_APP,SRV-PROD-APP-003,PROD,6.4.1,STOPPED,Team Mobile,8088,HTTP,mobile-banking
MB_BIOMETRIC,SRV-PROD-APP-003,PROD,1.8.0,STOPPED,Team Mobile,8092,HTTP,biometric-auth
MB_PUSH,SRV-PROD-APP-003,PROD,2.1.0,STOPPED,Team Mobile,8093,HTTP,push-notify
PAY_GATEWAY,SRV-PROD-GW-001,PROD,3.2.0,RUNNING,Team Thanh toán,443,HTTPS,payment-gateway
PAY_SWITCH,SRV-PROD-APP-002,PROD,2.9.0,RUNNING,Team Thanh toán,8094,HTTP,payment-switch
PAY_SETTLEMENT,SRV-PROD-APP-001,PROD,2.1.0,RUNNING,Team Thanh toán,8095,HTTP,settlement
PAY_QR,SRV-PROD-APP-002,PROD,1.5.0,RUNNING,Team Thanh toán,8096,HTTP,qr-payment
ADMIN_PORTAL,SRV-PROD-APP-001,PROD,3.1.0,RUNNING,Team Vận hành,9090,HTTP,admin-portal
AUDIT_SVC,SRV-PROD-APP-002,PROD,1.6.0,RUNNING,Team Vận hành,9091,HTTP,audit-service
REDIS_SESSION,SRV-PROD-CACHE-001,PROD,7.0.11,RUNNING,DevOps Team,6379,TCP,redis
RABBITMQ_BROKER,SRV-PROD-MQ-001,PROD,3.12.4,RUNNING,DevOps Team,5672,TCP,rabbitmq
NGINX_PROXY,SRV-PROD-GW-001,PROD,1.24.0,RUNNING,DevOps Team,80,HTTP,nginx
HAPROXY_LB,SRV-PROD-LB-001,PROD,2.8.3,RUNNING,DevOps Team,80,HTTP,haproxy
POSTGRES_CORE,SRV-PROD-DB-001,PROD,15.4,RUNNING,DBA Team,5432,TCP,postgres-core
POSTGRES_MB,SRV-PROD-DB-003,PROD,15.4,RUNNING,DBA Team,5432,TCP,postgres-mobile
CORE_CBS,SRV-DR-APP-001,PROD,3.5.2,RUNNING,DevOps Team,8080,HTTP,core-banking
IB_API,SRV-DR-APP-001,PROD,4.1.3,RUNNING,DevOps Team,8085,HTTP,ib-api
PAY_GATEWAY,SRV-DR-GW-001,PROD,3.2.0,RUNNING,Team Thanh toán,443,HTTPS,payment-gateway
NGINX_PROXY,SRV-DR-GW-001,PROD,1.24.0,RUNNING,DevOps Team,80,HTTP,nginx
POSTGRES_CORE,SRV-DR-DB-001,PROD,15.4,RUNNING,DBA Team,5432,TCP,postgres-core
CORE_CBS,SRV-UAT-APP-001,UAT,3.6.0-RC1,RUNNING,Team Core Banking,8080,HTTP,core-banking
CORE_ACCT,SRV-UAT-APP-001,UAT,2.9.0-RC1,RUNNING,Team Core Banking,8081,HTTP,account-mgmt
CORE_TRAN,SRV-UAT-APP-001,UAT,2.9.0-RC1,RUNNING,Team Core Banking,8082,HTTP,transaction-engine
CORE_LOAN,SRV-UAT-APP-001,UAT,2.0.0-RC1,RUNNING,Team Tín dụng,8083,HTTP,loan-mgmt
IB_PORTAL,SRV-UAT-APP-001,UAT,5.3.0-BETA,RUNNING,Team Digital,3000,HTTP,ib-portal
IB_API,SRV-UAT-APP-001,UAT,4.2.0-BETA,RUNNING,Team Digital,8085,HTTP,ib-api
IB_AUTH,SRV-UAT-APP-001,UAT,3.1.0-BETA,RUNNING,Team Digital,8090,HTTP,auth-service
MB_APP,SRV-UAT-APP-001,UAT,6.5.0-BETA,RUNNING,Team Mobile,8088,HTTP,mobile-banking
PAY_GATEWAY,SRV-UAT-GW-001,UAT,3.3.0-BETA,RUNNING,Team Thanh toán,443,HTTPS,payment-gateway
PAY_QR,SRV-UAT-APP-001,UAT,1.6.0-BETA,RUNNING,Team Thanh toán,8096,HTTP,qr-payment
NGINX_PROXY,SRV-UAT-GW-001,UAT,1.24.0,RUNNING,DevOps Team,80,HTTP,nginx
REDIS_SESSION,SRV-UAT-APP-001,UAT,7.0.11,RUNNING,DevOps Team,6379,TCP,redis
POSTGRES_CORE,SRV-UAT-DB-001,UAT,15.4,RUNNING,DBA Team,5432,TCP,postgres-core
CORE_CBS,SRV-DEV-APP-001,DEV,3.6.0-SNAPSHOT,RUNNING,Team Core Banking,8080,HTTP,core-banking
CORE_ACCT,SRV-DEV-APP-001,DEV,2.9.0-SNAPSHOT,RUNNING,Team Core Banking,8081,HTTP,account-mgmt
CORE_TRAN,SRV-DEV-APP-002,DEV,2.9.0-SNAPSHOT,RUNNING,Team Core Banking,8082,HTTP,transaction-engine
IB_PORTAL,SRV-DEV-APP-001,DEV,5.3.0-dev,RUNNING,Team Digital,3000,HTTP,ib-portal
IB_API,SRV-DEV-APP-001,DEV,4.2.0-dev,RUNNING,Team Digital,8085,HTTP,ib-api
MB_APP,SRV-DEV-APP-002,DEV,6.5.0-dev,RUNNING,Team Mobile,8088,HTTP,mobile-banking
MB_PUSH,SRV-DEV-APP-002,DEV,2.2.0-dev,RUNNING,Team Mobile,8093,HTTP,push-notify
PAY_GATEWAY,SRV-DEV-APP-002,DEV,3.3.0-dev,RUNNING,Team Thanh toán,443,HTTPS,payment-gateway
PAY_QR,SRV-DEV-APP-002,DEV,1.6.0-dev,RUNNING,Team Thanh toán,8096,HTTP,qr-payment
ADMIN_PORTAL,SRV-DEV-APP-001,DEV,3.2.0-dev,RUNNING,Team Vận hành,9090,HTTP,admin-portal
POSTGRES_CORE,SRV-DEV-DB-001,DEV,15.4,RUNNING,DBA Team,5432,TCP,postgres-core
REDIS_SESSION,SRV-DEV-CACHE-001,DEV,7.0.11,RUNNING,DevOps Team,6379,TCP,redis
RABBITMQ_BROKER,SRV-DEV-APP-002,DEV,3.12.4,RUNNING,DevOps Team,5672,TCP,rabbitmq
ELASTICSEARCH,SRV-DEV-APP-001,DEV,8.11.0,RUNNING,DevOps Team,9200,HTTP,elasticsearch
